iter	Passed	Remaining
0	0	79
1	1	83
2	2	91
3	3	81
4	4	81
5	5	81
6	6	82
7	7	80
8	7	79
9	8	77
10	9	75
11	10	74
12	10	72
13	11	71
14	12	70
15	13	69
16	14	68
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	63
23	19	63
24	20	62
25	21	61
26	22	60
27	22	59
28	23	58
29	24	57
30	25	56
31	25	54
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	41
47	37	40
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
